Title,Note,URL,Comment
Lucky Whale,,https://www.google.com/maps/place/Lucky+Whale/data=!4m2!3m1!1s0x89b11170c85b0d57:0xae935f05355ba0b8,
Gersi RVA,,https://www.google.com/maps/place/Gersi+RVA/data=!4m2!3m1!1s0x89b1110f43e0cb7b:0x8fc4542e7a35cb8c,
Restaurant Adarra,,https://www.google.com/maps/place/Restaurant+Adarra/data=!4m2!3m1!1s0x89b1113077cdaaab:0xf9ff76fdc9c71e2,
Whisk,,https://www.google.com/maps/place/Whisk/data=!4m2!3m1!1s0x89b1111dfebb5249:0xcae3ad6a5a1ebee5,
Pinky's,,https://www.google.com/maps/place/Pinky's/data=!4m2!3m1!1s0x89b11763a976c077:0x45c22ab0c1b32b7,
Laura Lee's,,https://www.google.com/maps/place/Laura+Lee's/data=!4m2!3m1!1s0x89b11177f9341725:0xccf5b82c66fa40d4,
Lewis Ginter Botanical Garden,,https://www.google.com/maps/place/Lewis+Ginter+Botanical+Garden/data=!4m2!3m1!1s0x89b115d8ae72e02f:0x48cfaecff31c41b2,
The Roosevelt,,https://www.google.com/maps/place/The+Roosevelt/data=!4m2!3m1!1s0x89b110e79c5a833f:0x79d16782a893627e,
Grisette,,https://www.google.com/maps/place/Grisette/data=!4m2!3m1!1s0x89b1117bf4e4343b:0xd70a9cbbd1ca0391,
Helen’s Restaurant,,https://www.google.com/maps/place/Helen%E2%80%99s+Restaurant/data=!4m2!3m1!1s0x89b113e32118edc1:0x88502cfc0bacf91,
Tenka Ramen - Richmond VA,,https://www.google.com/maps/place/Tenka+Ramen+-+Richmond+VA/data=!4m2!3m1!1s0x89b1113c59fd2825:0xc31d0972a79cd5e0,
8 ½ in The Fan,,https://www.google.com/maps/place/8+%C2%BD+in+The+Fan/data=!4m2!3m1!1s0x89b11156f042eea1:0x68539d65362d2175,
J KOGI,,https://www.google.com/maps/place/J+KOGI/data=!4m2!3m1!1s0x89b1113bbcbecaa9:0xc8344d528fbe1025,
NAMA,,https://www.google.com/maps/place/NAMA/data=!4m2!3m1!1s0x89b1111e936b28cd:0x7dde2d603251f02e,
Bamboo Cafe,,https://www.google.com/maps/place/Bamboo+Cafe/data=!4m2!3m1!1s0x89b113e3378ce16d:0xeb188e86edbb2e50,
Millie's Diner,,https://www.google.com/maps/place/Millie's+Diner/data=!4m2!3m1!1s0x89b110e30c423a6b:0x76ff59b8d6f321e9,
Cobra Burger,,https://www.google.com/maps/place/Cobra+Burger/data=!4m2!3m1!1s0x89b111ed1ea1d6a5:0xbea37c39f9707c0b,
The Valentine,,https://www.google.com/maps/place/The+Valentine/data=!4m2!3m1!1s0x89b11123ec5d69c9:0x65f7e733b7a9a47f,
The Camel,,https://www.google.com/maps/place/The+Camel/data=!4m2!3m1!1s0x89b1114e40fcbc19:0xdb39f5822f173ec5,
Garnett's,,https://www.google.com/maps/place/Garnett's/data=!4m2!3m1!1s0x89b1115120b961b1:0x56fc5bcf2c8829e2,
Buttermilk Trail,,https://www.google.com/maps/place/Buttermilk+Trail/data=!4m2!3m1!1s0x89b111be3ced78e9:0xc75a92f8f3c300fa,
Texas Beach,,https://www.google.com/maps/place/Texas+Beach/data=!4m2!3m1!1s0x89b1117d5382ecad:0xf443c6af592fa51e,
Tarrant's Cafe,,https://www.google.com/maps/place/Tarrant's+Cafe/data=!4m2!3m1!1s0x89b11139642910a1:0x62625fdd95aa28d5,
Croaker's Spot | Richmond,,https://www.google.com/maps/place/Croaker's+Spot+%7C+Richmond/data=!4m2!3m1!1s0x89b1113aecb11b57:0x4d842aa2ab1a09f7,
Tree's Famous Taco's And Rib Tips,,https://www.google.com/maps/place/Tree's+Famous+Taco's+And+Rib+Tips/data=!4m2!3m1!1s0x89b110e3ac8e1d75:0x99de425eec54f90f,
Station 2,,https://www.google.com/maps/place/Station+2/data=!4m2!3m1!1s0x89b1111de30cd3d1:0x4a78cde6d097cc49,
Oak & Apple BBQ,,https://www.google.com/maps/place/Oak+%26+Apple+BBQ/data=!4m2!3m1!1s0x89b111dafd20436f:0xa841a7f893f6ee3f,
Miyabi Sushi,,https://www.google.com/maps/place/Miyabi+Sushi/data=!4m2!3m1!1s0x89b1111eed7c7b0d:0xf9e393ad79aa51a4,
Secret Sandwich Society,,https://www.google.com/maps/place/Secret+Sandwich+Society/data=!4m2!3m1!1s0x89b1113cf14f3287:0x3808385ff2dde40b,
Triple Crossing Beer - Downtown,,https://www.google.com/maps/place/Triple+Crossing+Beer+-+Downtown/data=!4m2!3m1!1s0x89b1113fa1262ff9:0x773c1f4f98a6a1,
The Jungle Room,,https://www.google.com/maps/place/The+Jungle+Room/data=!4m2!3m1!1s0x89b11123b705fcb5:0xdd1014929a9a35ec,
The Answer Brewpub,,https://www.google.com/maps/place/The+Answer+Brewpub/data=!4m2!3m1!1s0x89b1145b7e815b57:0xf214b0734b6f1ed2,
Hardywood Park Craft Brewery - West Creek,,https://www.google.com/maps/place/Hardywood+Park+Craft+Brewery+-+West+Creek/data=!4m2!3m1!1s0x89b16bd7bf82385d:0x85e0b3fcf2526d73,
Kahlos Taqueria & Bar,,https://www.google.com/maps/place/Kahlos+Taqueria+%26+Bar/data=!4m2!3m1!1s0x89b111bb4bd6fec9:0x9d838f8636c9c548,
Alamo BBQ,,https://www.google.com/maps/place/Alamo+BBQ/data=!4m2!3m1!1s0x89b110e0c761fd21:0x23e987a499957677,
L'Opossum,,https://www.google.com/maps/place/L'Opossum/data=!4m2!3m1!1s0x89b1116a5934d281:0xde0fd5a7c86d241d,
Richmond Slave Trail,,https://www.google.com/maps/place/Richmond+Slave+Trail/data=!4m2!3m1!1s0x89b110feb8471a23:0xbb13fa9e29c75acf,
Stone Brewing Tap Room - Richmond,,https://www.google.com/maps/place/Stone+Brewing+Tap+Room+-+Richmond/data=!4m2!3m1!1s0x89b110f08e9e28c1:0xccd2c6045196721b,
Blue Atlas Restaurant and Market,,https://www.google.com/maps/place/Blue+Atlas+Restaurant+and+Market/data=!4m2!3m1!1s0x89b111bb7adce19b:0x1471fce4375e2925,
The Hill Cafe,,https://www.google.com/maps/place/The+Hill+Cafe/data=!4m2!3m1!1s0x89b110e42d6564fb:0x4c7362116aa1a68a,
Black History Museum and Cultural Center of Virginia,,https://www.google.com/maps/place/Black+History+Museum+and+Cultural+Center+of+Virginia/data=!4m2!3m1!1s0x89b1113a373e9e0f:0x5f0375e6c80cab83,
Virginia House,,https://www.google.com/maps/place/Virginia+House/data=!4m2!3m1!1s0x89b113905dda7d99:0x43b1671521cfe7e3,
Agecroft Hall & Gardens,,https://www.google.com/maps/place/Agecroft+Hall+%26+Gardens/data=!4m2!3m1!1s0x89b1139a690602ad:0x559fd71763c464e8,
